Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Get /skill/,200,104,88,140,177,289,49,843,0.000%,1.28961,7.65,0.14
合計,200,104,88,140,177,289,49,843,0.000%,1.28961,7.65,0.14
